name,price,release
PC Building Simulator,$19.99,2019
Rome: Total War™ - Collection,-,2007
Caves of Qud,$19.99,2015
fault - milestone two side:above,$14.99,2015
Hello Charlotte EP2: Requiem Aeternam Deo,-,2016
Zup! 8,$1.99,2018
Empires of the Undergrowth,$29.99,2017
The Stanley Parable: Ultra Deluxe,$24.99,2022
My Singing Monsters,-,2021
恋爱绮谭 不存在的真相,$13.99,2022
No Time,$10.99,2019
Geometry Arena,$2.15,2021
坦率的小红帽和爱说谎的狼,-,2020
Freddy Fazbear's Pizzeria Simulator,-,2017
Ever Seen A Cat?,$1.99,2022
Dinkum,$19.99,2022
Lucy -The Eternity She Wished For-,$3.99,2016
Turbo Overkill,$21.58,2023
Narcissu 1st & 2nd,-,2015
Some Some Convenience Store,$14.99,2020
Agent A: A puzzle in disguise,$1.99,2019
Rise of Nations: Extended Edition,$19.99,2014
Bing in Wonderland,$8.99,2023
Company of Heroes,$19.99,2006
Cobalt Core,$19.99,2023
Epic Battle Fantasy 3,-,2016
Long Dream,$6.99,2023
SpeedRunners,$2.99,2016
Dungeons 3,$29.99,2017
Later Alligator,$17.99,2019
The Legend of Heroes: Trails from Zero,$39.99,2022
Birth,$7.14,2023
The Secret of Monkey Island: Special Edition,$9.99,2009
POPGOES Arcade,$4.99,2022
Duck Simulator 2,-,2021
Barotrauma,$34.99,2023
Cat Quest,$12.99,2017
Super Animal Royale,-,2021
Spyro™ Reignited Trilogy,$39.99,2019
Little Busters! English Edition,$34.99,2017
NOeSIS01_诉说谎言记忆物语,-,2020
Soulstone Survivors: Prologue,-,2022
Enigmatis 2: The Mists of Ravenwood,$4.49,2014
